DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG
206,Dentatella ,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Dentatella,,,
207,Desserobdella phalera,,,,,,Clitellata,,,,Rhynchobdellida,,,,Glossiphoniidae,,,,Desserobdella,phalera,Batracobdella phalera,PRD
208,Dicrotendipes simpsoni,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,,,Dicrotendipes,simpsoni,,C-G
209,Dictya pictipes,,,,,,Insecta,,,,Diptera,,,,Sciomyzidae,,,,Dictya,pictipes,,PRD
210,Didymops transversa,,Arthropoda,,,,Insecta,,,,Odonata,,,,Macromiidae,,,,Didymops,transversa,,PRD
211,Diplectrona metaqui,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Diplectrona,metaqui,,C-F
212,Diplocladius,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,,,Diplocladius,,,C-G
213,Djalmabatista,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Djalmabatista,,Procladius,PRD
214,Djalmabatista pulcher,,,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Djalmabatista,pulcher,Procladius pulcher,PRD
215,Doncricotopus,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,,,Doncricotopus,,,SHR
216,Dreissena polymorpha,,Mullusca,,,,Bivalvia,,,,Veneroida,,,,Dreissenidae,,,,Dreissena,polymorpha,,C-F
217,Ephemerella aurivillii,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Ephemerella,,,
218,Epitheca,,,,,,Insecta,,,,Odonata,,,,Corduliidae,,,,Epitheca,,Tetragoneuria,PRD
219,Epoicocladius,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Epoicocladius,,,
220,Erioptera ,,Arthropoda,,,,Insecta,,,,Diptera,,,,Tipulidae,,,,Erioptera,,,C-G
221,Eukiefferiella coerulescens group,,,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Eukiefferiella,coerulescens,,C-G
222,Eukiefferiella gracei group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladiinae,,,Eukiefferiella,gracei,,C-G
223,Feltria ,,Arthropoda,,,,Arachnida,,,,Trombidoformes,,,,Feltriidae,,,,Feltria,,,
224,Gomphus,,,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Gomphus,,,PRD
225,Gonomyia,,,,,,Insecta,,,,Diptera,,,,Tipulidae,,,,Gonomyia,,,?
226,Gyrinidae,,Arthropoda,,,,Insecta,,,,Coleoptera,,,,Gyrinidae,,,,,,,PRD
227,Haliplidae,,Arthropoda,,,,Insecta,,,,Coleoptera,,,,Haliplidae,,,,,,,
228,Hansonoperla,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlidae,,,,,,,PRD
229,Helichus basalis,,Arthropoda,,,,Insecta,,,,Coleoptera,,,,Dryopidae,,,,Helichus,basalis,,SCR
230,Helicopsychidae,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Helicopsychidae,,,,,borealis,,SCR
231,Helobdella,,Annelida,,,,Clitellata,,,,Rhynchobdellida,,,,Glossiphoniidae,,,,Helobdella,,,PRD
